crap: complexity measured from source for 1859/1970 clauses (94.4%); 111 not gated (templates / generated / macro-injected).
crap: 18/1445 functions have no coverage data and are NOT gated. Pass --on-no-coverage zero to treat them as uncovered, or check your --coverdata is complete.
FUNCTION                                                     CC  COV%   CRAP
Mut.AstWalk.marked_scalar_block?/1                           3   100.0  3.0 
Mut.AstWalk.maybe_candidate/4                                3   100.0  3.0 
Mut.AstWalk.pin_loc/1                                        3   100.0  3.0 
Mut.AstWalk.pipeline_span/2                                  3   100.0  3.0 
Mut.AstWalk.schema_literal_pre/2                             3   100.0  3.0 
Mut.AstWalk.section_for/1                                    3   100.0  3.0 
Mut.AstWalk.span_start_byte/1                                3   100.0  3.0 
Mut.AstWalk.syntactic_arity/3                                3   100.0  3.0 
Mut.AstWalk.try_section_tag/1                                3   100.0  3.0 
Mut.AstWalk.unused_binding_hazard?/3                         3   100.0  3.0 
Mut.ChildProcess.run_with_retries/4                          3   100.0  3.0 
